PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,data_quality_score,lead_time_days,total_original_value,total_negotiated_value,cost_savings,savings_percentage,defect_rate,quality_score
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,MRO,Pending,1558,93.46,91.27,39.0,Yes,100,16.0,145610.68,142198.66,3412.0199999999895,2.34,2.5,97.5
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35.0,Yes,100,1.0,62417.08,54508.52,7908.560000000005,12.67,1.85,98.15
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25.0,Yes,100,16.0,69314.64,62765.280000000006,6549.359999999993,9.45,3.59,96.41
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10.0,Yes,100,11.0,865.9,772.8,93.10000000000002,10.75,14.29,85.71000000000001
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes,100,2.0,87451.40000000001,82894.6,4556.800000000003,5.21,5.51,94.49
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5.0,Yes,100,16.0,3013.2,2658.96,354.2399999999998,11.76,2.31,97.69
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200.0,Yes,100,3.0,134875.11,127022.09999999999,7853.009999999995,5.82,14.85,85.15
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25.0,No,100,3.0,26005.87,24668.65,1337.2199999999975,5.14,5.72,94.28
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12.0,Yes,100,2.0,67496.0,57382.0,10114.0,14.98,1.85,98.15
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38.0,Yes,100,19.0,6135.65,5624.65,511.0,8.33,10.41,89.59
PO-00069,Epsilon_Group,2022-08-27,,Raw Materials,Cancelled,63,61.94,53.8,0.0,Yes,100,,3902.22,3389.3999999999996,512.8200000000002,13.14,0.0,100.0
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9.0,Yes,100,8.0,28721.7,25322.82,3398.880000000001,11.83,3.09,96.91
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,MRO,Cancelled,826,60.5,57.18,18.0,Yes,100,14.0,49973.0,47230.68,2742.3199999999997,5.49,2.18,97.82
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,Electronics,Pending,1419,69.64,59.28,194.0,Yes,100,20.0,98819.16,84118.32,14700.839999999997,14.88,13.67,86.33
PO-00073,Gamma_Co,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40.0,Yes,100,17.0,47928.840000000004,45405.3,2523.540000000001,5.27,6.51,93.49
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19.0,Yes,100,15.0,53268.75,51374.75,1894.0,3.56,2.01,97.99
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,0.0,Yes,100,19.0,99574.11,98415.45000000001,1158.659999999989,1.16,0.0,100.0
PO-00076,Alpha_Inc,2022-06-16,,Office Supplies,Partially Delivered,141,64.15,58.32,0.0,Yes,100,,9045.150000000001,8223.12,822.0300000000007,9.09,0.0,100.0
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36.0,Yes,100,20.0,139060.8,120772.8,18287.999999999985,13.15,2.5,97.5
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,0.0,No,100,4.0,14944.349999999999,12853.949999999999,2090.3999999999996,13.99,0.0,100.0
PO-00079,Alpha_Inc,2022-08-03,,MRO,Delivered,1528,36.52,33.0,31.0,No,100,,55802.560000000005,50424.0,5378.560000000005,9.64,2.03,97.97
PO-00080,Gamma_Co,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77.0,No,100,7.0,159181.05,151585.99,7595.059999999998,4.77,5.13,94.87
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,0.0,No,100,3.0,52552.44,45421.200000000004,7131.239999999998,13.57,0.0,100.0
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,0.0,Yes,100,6.0,46926.0,41943.0,4983.0,10.62,0.0,100.0
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,Electronics,Cancelled,84,73.38,71.42,9.0,Yes,100,6.0,6163.92,5999.28,164.64000000000033,2.67,10.71,89.28999999999999
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27.0,No,100,15.0,9853.2,8565.45,1287.75,13.07,10.59,89.41
PO-00085,Gamma_Co,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58.0,Yes,100,16.0,31388.8,30084.78,1304.0200000000004,4.15,5.03,94.97
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No,100,8.0,93047.84999999999,88894.95,4152.899999999994,4.46,16.02,83.98
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278.0,No,100,10.0,89839.54999999999,78033.4,11806.149999999994,13.14,14.29,85.71000000000001
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228.0,No,100,15.0,93635.49,92612.79,1022.7000000000116,1.09,15.61,84.39
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes,100,8.0,19919.75,17329.0,2590.75,13.01,13.67,86.33
PO-00090,Alpha_Inc,2022-09-08,,Packaging,Delivered,1071,101.6,93.91,25.0,Yes,100,,108813.59999999999,100577.61,8235.98999999999,7.57,2.33,97.67
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,Packaging,Pending,1463,101.23,86.17,43.0,Yes,100,19.0,148099.49000000002,126066.71,22032.780000000013,14.88,2.94,97.06
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69.0,Yes,100,7.0,48154.5,45313.200000000004,2841.2999999999956,5.9,11.22,88.78
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,0.0,Yes,100,18.0,72791.46,66354.12,6437.340000000011,8.84,0.0,100.0
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45.0,Yes,100,5.0,72988.2,69427.35,3560.8499999999913,4.88,2.44,97.56
PO-00095,Beta_Supplies,2023-10-18,,Electronics,Cancelled,1895,91.98,86.27,170.0,Yes,100,,174302.1,163481.65,10820.450000000012,6.21,8.97,91.03
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32.0,No,100,3.0,123783.0,107833.49999999999,15949.500000000015,12.89,2.06,97.94
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,0.0,No,100,10.0,20191.2,18326.24,1864.9599999999991,9.24,0.0,100.0
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21.0,Yes,100,19.0,42935.200000000004,40621.57,2313.6300000000047,5.39,4.66,95.34
PO-00099,Beta_Supplies,2023-12-03,,Office Supplies,Delivered,779,93.69,90.92,66.0,Yes,100,,72984.51,70826.68000000001,2157.829999999987,2.96,8.47,91.53
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,MRO,Pending,1629,100.26,86.44,187.0,No,100,15.0,163323.54,140810.76,22512.78,13.78,11.48,88.52
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,Office Supplies,Delivered,211,75.69,65.4,2.0,Yes,100,-5.0,15970.59,13799.400000000001,2171.1899999999987,13.59,0.95,99.05
PO-00102,Alpha_Inc,2022-08-23,,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes,100,,16939.989999999998,16184.480000000001,755.5099999999966,4.46,0.8,99.2
PO-00103,Gamma_Co,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69.0,Yes,100,16.0,50034.600000000006,46659.25,3375.350000000006,6.75,6.6,93.4
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57.0,Yes,100,20.0,31466.16,28438.850000000002,3027.3099999999977,9.62,17.87,82.13
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58.0,Yes,100,14.0,181325.75999999998,178576.63999999998,2749.1199999999953,1.52,3.0,97.0
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,MRO,Cancelled,865,14.7,13.14,135.0,No,100,20.0,12715.5,11366.1,1349.3999999999996,10.61,15.61,84.39
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44.0,Yes,100,3.0,16800.0,14609.279999999999,2190.720000000001,13.04,3.27,96.73
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,Raw Materials,Pending,505,45.42,40.37,62.0,Yes,100,19.0,22937.100000000002,20386.85,2550.2500000000036,11.12,12.28,87.72
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151.0,No,100,1.0,139424.05,120159.8,19264.249999999985,13.82,9.84,90.16
PO-00110,Beta_Supplies,2022-11-19,,Office Supplies,Delivered,1800,103.8,96.27,166.0,Yes,100,,186840.0,173286.0,13554.0,7.25,9.22,90.78
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,Raw Materials,Pending,1325,24.36,22.75,206.0,Yes,100,9.0,32277.0,30143.75,2133.25,6.61,15.55,84.45
PO-00112,Gamma_Co,2023-11-03,2023-11-09,Raw Materials,Delivered,1066,70.45,65.88,56.0,No,100,6.0,75099.7,70228.08,4871.619999999995,6.49,5.25,94.75
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,Raw Materials,Delivered,1775,47.82,45.86,180.0,Yes,100,15.0,84880.5,81401.5,3479.0,4.1,10.14,89.86
PO-00114,Gamma_Co,2023-02-10,,Raw Materials,Partially Delivered,345,103.62,98.09,25.0,No,100,,35748.9,33841.05,1907.8499999999985,5.34,7.25,92.75
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,Electronics,Delivered,1798,94.8,91.83,0.0,Yes,100,19.0,170450.4,165110.34,5340.059999999998,3.13,0.0,100.0
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,MRO,Delivered,769,91.86,86.55,17.0,Yes,100,16.0,70640.34,66556.95,4083.3899999999994,5.78,2.21,97.79
PO-00117,Alpha_Inc,2022-05-27,,Packaging,Delivered,1822,53.23,47.49,39.0,Yes,100,,96985.06,86526.78,10458.279999999999,10.78,2.14,97.86
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,Packaging,Delivered,387,49.23,45.41,61.0,Yes,100,14.0,19052.01,17573.67,1478.3400000000001,7.76,15.76,84.24
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,MRO,Delivered,928,35.3,32.52,26.0,Yes,100,4.0,32758.399999999998,30178.56,2579.8399999999965,7.88,2.8,97.2
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,Packaging,Partially Delivered,1126,15.68,14.97,27.0,Yes,100,11.0,17655.68,16856.22,799.4599999999991,4.53,2.4,97.6
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,Raw Materials,Cancelled,841,95.73,85.33,81.0,Yes,100,16.0,80508.93000000001,71762.53,8746.400000000009,10.86,9.63,90.37
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,Electronics,Delivered,1995,90.65,77.75,206.0,Yes,100,13.0,180846.75,155111.25,25735.5,14.23,10.33,89.67
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,Raw Materials,Delivered,266,103.97,101.44,6.0,Yes,100,18.0,27656.02,26983.04,672.9799999999996,2.43,2.26,97.74
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,Raw Materials,Cancelled,813,109.17,107.39,14.0,Yes,100,3.0,88755.21,87308.07,1447.1399999999994,1.63,1.72,98.28
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,Electronics,Delivered,237,64.19,59.01,7.0,Yes,100,11.0,15213.029999999999,13985.369999999999,1227.6599999999999,8.07,2.95,97.05
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,Office Supplies,Cancelled,429,86.73,75.09,9.0,Yes,100,13.0,37207.17,32213.61,4993.559999999998,13.42,2.1,97.9
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,Packaging,Delivered,542,101.21,93.11,78.0,No,100,1.0,54855.82,50465.62,4390.199999999997,8.0,14.39,85.61
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,Electronics,Delivered,1114,91.66,85.53,35.0,Yes,100,18.0,102109.23999999999,95280.42,6828.819999999992,6.69,3.14,96.86
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,MRO,Delivered,1230,33.39,30.85,26.0,Yes,100,2.0,41069.7,37945.5,3124.199999999997,7.61,2.11,97.89
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,MRO,Delivered,64,51.56,50.88,5.0,Yes,100,12.0,3299.84,3256.32,43.51999999999998,1.32,7.81,92.19
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,MRO,Delivered,1886,23.46,23.18,0.0,Yes,100,16.0,44245.560000000005,43717.479999999996,528.080000000009,1.19,0.0,100.0
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,Office Supplies,Delivered,114,103.53,101.54,14.0,Yes,100,2.0,11802.42,11575.560000000001,226.85999999999876,1.92,12.28,87.72
PO-00133,Delta_Logistics,2022-04-04,2022-04-22,Electronics,Cancelled,1930,65.52,56.9,282.0,Yes,100,18.0,126453.59999999999,109817.0,16636.59999999999,13.16,14.61,85.39
PO-00134,Beta_Supplies,2022-02-18,2022-02-28,Office Supplies,Pending,1912,30.73,29.82,191.0,Yes,100,10.0,58755.76,57015.840000000004,1739.9199999999983,2.96,9.99,90.01
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,MRO,Delivered,570,71.51,66.47,0.0,Yes,100,16.0,40760.700000000004,37887.9,2872.800000000003,7.05,0.0,100.0
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,Raw Materials,Delivered,1417,67.27,60.62,0.0,Yes,100,20.0,95321.59,85898.54,9423.050000000003,9.89,0.0,100.0
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,Raw Materials,Delivered,1202,46.67,44.13,21.0,No,100,6.0,56097.340000000004,53044.26,3053.0800000000017,5.44,1.75,98.25
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,Office Supplies,Delivered,697,20.73,19.83,78.0,No,100,1.0,14448.81,13821.509999999998,627.3000000000011,4.34,11.19,88.81
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,MRO,Delivered,1545,78.19,76.91,42.0,Yes,100,3.0,120803.55,118825.95,1977.6000000000058,1.64,2.72,97.28
PO-00140,Gamma_Co,2023-03-09,2023-03-13,MRO,Partially Delivered,1136,60.81,58.25,62.0,Yes,100,4.0,69080.16,66172.0,2908.1600000000035,4.21,5.46,94.54
PO-00141,Beta_Supplies,2023-09-03,2023-09-07,MRO,Delivered,1212,87.46,74.55,118.0,No,100,4.0,106001.51999999999,90354.59999999999,15646.919999999998,14.76,9.74,90.26
PO-00142,Epsilon_Group,2022-03-07,2022-03-12,MRO,Delivered,1572,57.38,49.32,40.0,Yes,100,5.0,90201.36,77531.04,12670.320000000007,14.05,2.54,97.46
PO-00143,Gamma_Co,2023-01-30,2023-02-09,Electronics,Delivered,642,91.9,81.49,26.0,Yes,100,10.0,58999.8,52316.579999999994,6683.220000000008,11.33,4.05,95.95
PO-00144,Epsilon_Group,2023-01-26,2023-02-04,Office Supplies,Delivered,441,63.25,54.12,16.0,Yes,100,9.0,27893.25,23866.92,4026.3300000000017,14.43,3.63,96.37
PO-00145,Epsilon_Group,2023-09-03,2023-09-19,Office Supplies,Delivered,1748,66.53,57.11,0.0,Yes,100,16.0,116294.44,99828.28,16466.160000000003,14.16,0.0,100.0
