PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,data_quality_score,lead_time_days,total_original_value,total_negotiated_value,cost_savings,savings_percentage,defect_rate,quality_score,order_year,order_month,order_quarter,order_day_of_week,order_day_of_month,order_week_of_year,order_month_name,order_day_name,order_season,order_is_weekend,order_is_month_end,order_is_quarter_end,lead_time_category,lead_time_vs_median,is_fast_delivery,is_slow_delivery,supplier_total_orders,supplier_total_quantity,supplier_avg_order_quantity,supplier_total_spend,supplier_avg_order_value,supplier_avg_lead_time,supplier_lead_time_consistency,supplier_avg_defect_rate,supplier_quality_consistency,supplier_avg_savings_rate,supplier_savings_consistency,supplier_delivery_score,supplier_quality_score,supplier_overall_score,supplier_tier,price_change_absolute,price_change_ratio,negotiation_effectiveness,order_size_category,is_high_value_order,defect_severity,is_perfect_order,compliance_score,delivery_risk,quality_risk,compliance_risk,composite_risk_score,risk_level
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,Raw Materials,Delivered,5000,78.49,73.68,18.0,Yes,100,15.0,392450.0,368400.00000000006,24049.99999999994,6.13,0.36,99.64,2022,3,1,3,31,13,March,Thursday,Spring,False,True,True,Extended,4.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,4.809999999999988,0.9387183080647218,Successful,Large,True,Excellent,False,,0,0,0,0,Low
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Raw Materials,Delivered,5000,88.96,86.58,115.0,Yes,100,14.0,444799.99999999994,432900.0,11899.999999999942,2.68,2.3,97.7,2023,8,3,0,28,35,August,Monday,Summer,False,True,False,Standard,3.0,False,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,2.3799999999999955,0.9732464028776979,Successful,Large,True,Good,False,,0,0,0,0,Low
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,Electronics,Pending,5000,86.74,74.86,51.0,Yes,100,17.0,433700.0,374300.0,59400.0,13.7,1.02,98.98,2023,3,1,3,9,10,March,Thursday,Spring,False,False,True,Extended,6.0,False,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,11.879999999999995,0.8630389670278995,Successful,Large,True,Good,False,,0,0,0,0,Low
PO-00014,Beta_Supplies,2022-02-02,,MRO,Delivered,5000,18.3,16.88,0.0,Yes,100,,91500.0,84400.0,7100.0,7.76,0.0,100.0,2022,2,1,2,2,5,February,Wednesday,Winter,False,False,False,,,False,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,1.4200000000000017,0.9224043715846993,Successful,Large,False,,True,,0,0,0,0,Low
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,Electronics,Pending,5000,54.5,48.45,22.0,Yes,100,18.0,272500.0,242250.0,30250.0,11.1,0.44,99.56,2022,1,1,0,31,5,January,Monday,Winter,False,True,False,Extended,7.0,False,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,6.049999999999997,0.8889908256880734,Successful,Large,True,Excellent,False,,0,0,0,0,Low
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,Packaging,Delivered,5000,15.41,15.12,0.0,Yes,100,15.0,77050.0,75600.0,1450.0,1.88,0.0,100.0,2022,4,2,2,6,14,April,Wednesday,Spring,False,False,False,Extended,4.0,False,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,0.2900000000000009,0.981181051265412,Successful,Medium,False,,True,,0,0,0,0,Low
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,MRO,Delivered,1173,61.54,55.49,172.0,No,100,19.0,72186.42,65089.77,7096.649999999994,9.83,14.66,85.34,2022,8,3,4,12,32,August,Friday,Summer,False,False,False,Extended,8.0,False,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,6.049999999999997,0.9016899577510563,Successful,Medium,False,Critical,False,,0,1,0,1,Medium
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Raw Materials,Delivered,921,51.48,50.61,0.0,Yes,100,8.0,47413.079999999994,46611.81,801.2699999999968,1.69,0.0,100.0,2022,8,3,5,27,34,August,Saturday,Summer,True,False,False,Standard,-3.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,0.8699999999999974,0.9831002331002332,Successful,Medium,False,,True,,0,0,0,0,Low
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Raw Materials,Partially Delivered,1737,97.53,87.37,79.0,Yes,100,3.0,169409.61000000002,151761.69,17647.920000000013,10.42,4.55,95.45,2023,6,2,4,2,22,June,Friday,Summer,False,False,True,Express,-8.0,True,False,143,157916,1104.308,8587921.71,60055.397,10.192,5.493,4.498,1.759,7.985,4.093,90.9,51.4,71.2,Average,10.159999999999997,0.895826925048703,Successful,Large,True,Good,False,,0,0,0,0,Low
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Raw Materials,Delivered,180,45.74,38.89,0.0,No,100,15.0,8233.2,7000.2,1233.000000000001,14.98,0.0,100.0,2023,9,3,5,9,36,September,Saturday,Fall,True,False,True,Extended,4.0,False,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,6.850000000000001,0.8502404897245299,Successful,Small,False,,True,,0,0,0,0,Low
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,Electronics,Cancelled,1735,20.54,19.69,49.0,Yes,100,15.0,35636.9,34162.15,1474.75,4.14,2.82,97.18,2022,1,1,4,28,4,January,Friday,Winter,False,True,False,Extended,4.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,0.8499999999999979,0.9586173320350536,Successful,Medium,False,Good,False,,0,0,0,0,Low
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Raw Materials,Delivered,1382,24.93,23.75,0.0,Yes,100,13.0,34453.26,32822.5,1630.760000000002,4.73,0.0,100.0,2023,7,3,5,29,30,July,Saturday,Summer,True,True,False,Standard,2.0,False,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,1.1799999999999997,0.9526674689129563,Successful,Medium,False,,True,,0,0,0,0,Low
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,MRO,Delivered,819,80.89,77.03,29.0,Yes,100,16.0,66248.91,63087.57,3161.340000000004,4.77,3.54,96.46,2022,7,3,5,23,29,July,Saturday,Summer,True,False,False,Extended,5.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,3.8599999999999994,0.9522808752627024,Successful,Medium,False,Good,False,,0,0,0,0,Low
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42.0,No,100,6.0,28504.29,26059.83,2444.459999999999,8.58,10.69,89.31,2023,10,4,5,28,43,October,Saturday,Fall,True,True,False,Express,-5.0,True,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,6.219999999999999,0.9142423824624294,Successful,Medium,False,Critical,False,,0,1,0,1,Medium
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161.0,Yes,100,12.0,33334.5,31440.85,1893.6500000000017,5.68,10.29,89.71000000000001,2023,12,4,2,20,51,December,Wednesday,Winter,False,False,True,Standard,1.0,False,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,1.2100000000000009,0.9431924882629108,Successful,Medium,False,Critical,False,,0,1,0,1,Medium
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,0.0,Yes,100,11.0,28476.05,25635.879999999997,2840.170000000002,9.97,0.0,100.0,2023,7,3,3,13,28,July,Thursday,Summer,False,False,False,Standard,0.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,1.9100000000000001,0.9002610966057442,Successful,Medium,False,,True,,0,0,0,0,Low
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17.0,Yes,100,20.0,66861.0,57421.8,9439.200000000004,14.12,1.99,98.01,2023,3,1,0,6,10,March,Monday,Spring,False,False,True,Extended,9.0,False,False,141,150414,1066.766,7839712.25,55600.796,10.607,5.648,1.891,3.065,8.21,4.434,72.6,91.0,81.8,Good,11.040000000000006,0.8588235294117647,Successful,Medium,False,Good,False,,1,0,0,1,Medium
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8.0,Yes,100,9.0,7451.549999999999,6890.4,561.1499999999996,7.53,1.84,98.16,2022,8,3,6,14,32,August,Sunday,Summer,True,False,False,Standard,-2.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,1.2899999999999991,0.9246935201401051,Successful,Small,False,Good,False,,0,0,0,0,Low
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187.0,Yes,100,17.0,114178.9,100529.55,13649.350000000006,11.95,14.78,85.22,2023,4,2,2,5,14,April,Wednesday,Spring,False,False,False,Extended,6.0,False,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,10.790000000000006,0.8804564591181032,Successful,Large,False,Critical,False,,0,1,0,1,Medium
PO-00030,Epsilon_Group,2023-08-27,,MRO,Delivered,1005,80.55,73.31,30.0,Yes,100,,80952.75,73676.55,7276.199999999997,8.99,2.99,97.01,2023,8,3,6,27,34,August,Sunday,Summer,True,False,False,,,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,7.239999999999995,0.9101179391682186,Successful,Medium,False,Good,False,,0,0,0,0,Low
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,0.0,No,100,14.0,5900.6,5189.92,710.6800000000003,12.04,0.0,100.0,2022,10,4,2,12,41,October,Wednesday,Fall,False,False,False,Standard,3.0,False,False,143,157916,1104.308,8587921.71,60055.397,10.192,5.493,4.498,1.759,7.985,4.093,90.9,51.4,71.2,Average,2.1800000000000015,0.8795580110497236,Successful,Small,False,,True,,0,0,0,0,Low
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26.0,Yes,100,8.0,21767.76,19324.44,2443.3200000000033,11.22,2.11,97.89,2022,1,1,4,7,1,January,Friday,Winter,False,False,False,Standard,-3.0,False,False,141,150414,1066.766,7839712.25,55600.796,10.607,5.648,1.891,3.065,8.21,4.434,72.6,91.0,81.8,Good,1.9800000000000004,0.8877551020408163,Successful,Small,False,Good,False,,0,0,0,0,Low
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19.0,Yes,100,16.0,51546.43,49790.38,1756.050000000003,3.41,3.73,96.27,2022,6,2,0,13,24,June,Monday,Summer,False,False,True,Extended,5.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,3.450000000000003,0.9659326552779698,Successful,Medium,False,Good,False,,0,0,0,0,Low
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27.0,Yes,100,1.0,67560.77,60625.77,6935.0,10.26,1.95,98.05,2023,12,4,5,16,50,December,Saturday,Winter,True,False,True,Express,-10.0,True,False,141,150414,1066.766,7839712.25,55600.796,10.607,5.648,1.891,3.065,8.21,4.434,72.6,91.0,81.8,Good,5.0,0.8973516731677273,Successful,Medium,False,Good,False,,0,0,0,0,Low
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0.0,Yes,100,8.0,3293.69,3065.78,227.90999999999983,6.92,0.0,100.0,2023,3,1,3,9,10,March,Thursday,Spring,False,False,True,Standard,-3.0,False,False,141,150414,1066.766,7839712.25,55600.796,10.607,5.648,1.891,3.065,8.21,4.434,72.6,91.0,81.8,Good,3.210000000000001,0.9308040525975425,Successful,Small,False,,True,,0,0,0,0,Low
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9.0,Yes,100,8.0,26494.460000000003,24619.039999999997,1875.4200000000055,7.08,2.98,97.02,2022,12,4,3,15,50,December,Thursday,Winter,False,False,True,Standard,-3.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,6.210000000000008,0.9292146358144305,Successful,Medium,False,Good,False,,0,0,0,0,Low
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18.0,Yes,100,19.0,79333.38,72821.89,6511.490000000005,8.21,2.26,97.74,2022,10,4,2,12,41,October,Wednesday,Fall,False,False,False,Extended,8.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,8.170000000000002,0.9179224432388989,Successful,Medium,False,Good,False,,0,0,0,0,Low
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94.0,Yes,100,18.0,91696.26,82355.40000000001,9340.859999999986,10.19,10.38,89.62,2022,6,2,3,9,23,June,Thursday,Summer,False,False,True,Extended,7.0,False,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,10.309999999999988,0.8981325955933209,Successful,Medium,False,Critical,False,,0,1,0,1,Medium
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes,100,14.0,131586.02,124429.1,7156.919999999984,5.44,3.06,96.94,2022,8,3,1,9,32,August,Tuesday,Summer,False,False,False,Standard,3.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,4.3799999999999955,0.9456103315534584,Successful,Large,False,Good,False,,0,0,0,0,Low
PO-00040,Epsilon_Group,2022-12-11,,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes,100,,24250.72,20776.6,3474.1200000000026,14.33,2.67,97.33,2022,12,4,6,11,49,December,Sunday,Winter,True,False,True,,,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,6.630000000000003,0.8567415730337078,Successful,Small,False,Good,False,,0,0,0,0,Low
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes,100,12.0,20126.960000000003,17387.52,2739.4400000000023,13.61,8.48,91.52,2022,4,2,4,15,15,April,Friday,Spring,False,False,False,Standard,1.0,False,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,2.4200000000000017,0.8638920134983126,Successful,Small,False,Poor,False,,0,1,0,1,Medium
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No,100,9.0,45438.4,43607.2,1831.199999999997,4.03,6.07,93.93,2022,4,2,1,5,14,April,Tuesday,Spring,False,False,False,Standard,-2.0,False,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,3.269999999999996,0.9596992851860981,Successful,Medium,False,Poor,False,,0,1,0,1,Medium
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes,100,8.0,112091.85,102492.0,9599.849999999991,8.56,4.84,95.16,2023,1,1,2,25,4,January,Wednesday,Winter,False,False,False,Standard,-3.0,False,False,143,157916,1104.308,8587921.71,60055.397,10.192,5.493,4.498,1.759,7.985,4.093,90.9,51.4,71.2,Average,5.469999999999999,0.914357288241741,Successful,Large,False,Good,False,,0,0,0,0,Low
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes,100,7.0,75746.09999999999,65708.58,10037.51999999999,13.25,3.1,96.9,2022,4,2,6,10,14,April,Sunday,Spring,True,False,False,Express,-4.0,True,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,6.479999999999997,0.8674846625766872,Successful,Medium,False,Good,False,,0,0,0,0,Low
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes,100,18.0,72705.43,70525.84,2179.5899999999965,3.0,16.42,83.58,2023,1,1,1,3,1,January,Tuesday,Winter,False,False,False,Extended,7.0,False,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,2.9099999999999966,0.9700216338724632,Successful,Medium,False,Critical,False,,0,1,0,1,Medium
PO-00046,Alpha_Inc,2022-12-19,,Electronics,Delivered,1025,21.11,19.25,15.0,Yes,100,,21637.75,19731.25,1906.5,8.81,1.46,98.54,2022,12,4,0,19,51,December,Monday,Winter,False,False,True,,,False,False,141,150414,1066.766,7839712.25,55600.796,10.607,5.648,1.891,3.065,8.21,4.434,72.6,91.0,81.8,Good,1.8599999999999994,0.91189009947892,Successful,Small,False,Good,False,,0,0,0,0,Low
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes,100,7.0,110933.12,94303.36,16629.76000000001,14.99,10.29,89.71000000000001,2023,9,3,0,11,37,September,Monday,Fall,False,False,True,Express,-4.0,True,False,156,180516,1157.154,9858665.9,63196.576,11.273,5.692,8.272,3.834,7.828,4.219,10.1,32.1,21.1,Poor,8.96,0.8500920194077296,Successful,Large,False,Critical,False,,0,1,0,1,Medium
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes,100,16.0,2738.94,2695.92,43.01999999999998,1.57,1.67,98.33,2022,9,3,2,28,39,September,Wednesday,Fall,False,True,True,Extended,5.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,0.1800000000000015,0.9842931937172773,Successful,Small,False,Good,False,,0,0,0,0,Low
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes,100,19.0,52807.079999999994,46382.420000000006,6424.659999999989,12.17,16.58,83.42,2022,2,1,0,14,7,February,Monday,Winter,False,False,False,Extended,8.0,False,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,6.3799999999999955,0.8783371472158659,Successful,Medium,False,Critical,False,,0,1,0,1,Medium
PO-00050,Alpha_Inc,2023-04-16,,MRO,Pending,736,16.2,15.33,18.0,Yes,100,,11923.2,11282.88,640.3199999999997,5.37,2.45,97.55,2023,4,2,6,16,15,April,Sunday,Spring,True,False,False,,,False,False,141,150414,1066.766,7839712.25,55600.796,10.607,5.648,1.891,3.065,8.21,4.434,72.6,91.0,81.8,Good,0.8699999999999992,0.9462962962962963,Successful,Small,False,Good,False,,0,0,0,0,Low
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,0.0,Yes,100,10.0,22717.92,19727.13,2990.7899999999972,13.16,0.0,100.0,2023,7,3,1,4,27,July,Tuesday,Summer,False,False,False,Standard,-1.0,False,False,166,180053,1084.657,9851156.06,59344.314,10.866,5.747,2.606,1.79,8.041,4.089,30.8,71.2,51.0,Poor,2.969999999999999,0.8683510638297873,Successful,Small,False,,True,,0,0,0,0,Low
PO-00052,Delta_Logistics,2022-05-08,,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes,100,,12845.88,12087.0,758.8799999999992,5.91,16.67,83.33,2022,5,2,6,8,18,May,Sunday,Spring,True,False,False,,,False,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,1.2399999999999984,0.9409242496426871,Successful,Small,False,Critical,False,,0,1,0,1,Medium
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48.0,No,100,10.0,141360.97,123293.74,18067.23000000001,12.78,2.46,97.54,2023,1,1,0,23,4,January,Monday,Winter,False,False,False,Standard,-1.0,False,False,141,150414,1066.766,7839712.25,55600.796,10.607,5.648,1.891,3.065,8.21,4.434,72.6,91.0,81.8,Good,9.270000000000003,0.8721908175927202,Successful,Large,False,Good,False,,0,0,0,0,Low
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262.0,No,100,6.0,127788.8,125312.4,2476.4000000000087,1.94,15.98,84.02,2022,3,1,1,22,12,March,Tuesday,Spring,False,False,True,Express,-5.0,True,False,171,181652,1062.292,9236240.47,54013.102,10.854,6.028,10.867,6.667,7.812,3.931,52.5,11.1,31.8,Poor,1.5100000000000051,0.9806211498973305,Successful,Large,False,Critical,False,,0,1,0,1,Medium
